('B2G', 'Windows NT', 'ProductID')	5
('B2G', 'Windows NT', 'ProductName')	5
('B2G', 'Windows NT', 'SecondsSinceLastCrash')	3
('B2G', 'Windows NT', 'StartupTime')	5
('B2G', 'Windows NT', 'Winsock_LSP')	4
('B2G', 'Windows NT', 'submitted_timestamp')	5
('B2G', 'Windows NT', 'timestamp')	5
('Camino', 'Mac OS X', '$total')	62
('Camino', 'Mac OS X', 'Comments')	4
('Camino', 'Mac OS X', 'CrashTime')	62
('Camino', 'Mac OS X', 'Email')	1
('Camino', 'Mac OS X', 'InstallTime')	55
('Camino', 'Mac OS X', 'Version')	62
('Eudora OSE', 'Windows NT', 'ProductName')	1
('Eudora OSE', 'Windows NT', 'SecondsSinceLastCrash')	1
('Eudora OSE', 'Windows NT', 'StartupTime')	1
('Eudora OSE', 'Windows NT', 'submitted_timestamp')	1
('Eudora OSE', 'Windows NT', 'timestamp')	1
('Fennec', 'Android', '$total')	47257
('Fennec', 'Android', 'AdapterDeviceID')	41047
('Fennec', 'Android', 'Add-ons')	45248
('Fennec', 'Android', 'Android_Fingerprint')	47257
('Fennec', 'Android', 'Android_Hardware')	47257
('Fennec', 'Android', 'Android_Version')	47257
